snr_db,polarity,arm,roi_mode,accuracy,n,lcb,ucb
-5.0,negative,s1_token,all,0.8735,253,0.8269,0.909
-5.0,negative,s2_image,all,0.747,253,0.69,0.7966
-5.0,negative,s3_roi,all,0.8656,253,0.8181,0.9022
-5.0,negative,s3_roi,suspect,0.7,40,0.5457,0.8193
-5.0,negative,s3_roi,target_topk,0.6875,32,0.5143,0.8205
-5.0,negative,s3_roi,thumbnail,0.9337,181,0.8877,0.9617
-5.0,positive,s1_token,all,0.5986,279,0.5401,0.6544
-5.0,positive,s2_image,all,0.552,279,0.4933,0.6092
-5.0,positive,s3_roi,all,0.5305,279,0.4719,0.5882
-5.0,positive,s3_roi,suspect,0.5238,63,0.4027,0.6422
-5.0,positive,s3_roi,target_topk,0.6707,167,0.5962,0.7374
-5.0,positive,s3_roi,thumbnail,0.0612,49,0.021,0.1652
0.0,negative,s1_token,all,0.8735,253,0.8269,0.909
0.0,negative,s2_image,all,0.6798,253,0.62,0.7343
0.0,negative,s3_roi,all,0.7984,253,0.7447,0.8432
0.0,negative,s3_roi,suspect,0.675,40,0.5202,0.7992
0.0,negative,s3_roi,target_topk,0.5938,32,0.4226,0.7448
0.0,negative,s3_roi,thumbnail,0.8619,181,0.8041,0.9047
0.0,positive,s1_token,all,0.5986,279,0.5401,0.6544
0.0,positive,s2_image,all,0.6595,279,0.6021,0.7126
0.0,positive,s3_roi,all,0.5914,279,0.5329,0.6475
0.0,positive,s3_roi,suspect,0.6032,63,0.4798,0.7147
0.0,positive,s3_roi,target_topk,0.7365,167,0.6649,0.7975
0.0,positive,s3_roi,thumbnail,0.0816,49,0.0322,0.1919
5.0,negative,s1_token,all,0.8735,253,0.8269,0.909
5.0,negative,s2_image,all,0.6917,253,0.6323,0.7454
5.0,negative,s3_roi,all,0.7984,253,0.7447,0.8432
5.0,negative,s3_roi,suspect,0.725,40,0.5716,0.8389
5.0,negative,s3_roi,target_topk,0.5,32,0.3363,0.6637
5.0,negative,s3_roi,thumbnail,0.8674,181,0.8103,0.9093
5.0,positive,s1_token,all,0.5986,279,0.5401,0.6544
5.0,positive,s2_image,all,0.6953,279,0.639,0.7464
5.0,positive,s3_roi,all,0.6022,279,0.5437,0.6578
5.0,positive,s3_roi,suspect,0.5556,63,0.4332,0.6715
5.0,positive,s3_roi,target_topk,0.7665,167,0.6968,0.8242
5.0,positive,s3_roi,thumbnail,0.102,49,0.0444,0.2176
10.0,negative,s1_token,all,0.8735,253,0.8269,0.909
10.0,negative,s2_image,all,0.6719,253,0.6119,0.7268
10.0,negative,s3_roi,all,0.7549,253,0.6984,0.8039
10.0,negative,s3_roi,suspect,0.65,40,0.4951,0.7787
10.0,negative,s3_roi,target_topk,0.4062,32,0.2552,0.5774
10.0,negative,s3_roi,thumbnail,0.8398,181,0.7794,0.8861
10.0,positive,s1_token,all,0.5986,279,0.5401,0.6544
10.0,positive,s2_image,all,0.7312,279,0.6763,0.7798
10.0,positive,s3_roi,all,0.6416,279,0.5837,0.6956
10.0,positive,s3_roi,suspect,0.5714,63,0.4486,0.686
10.0,positive,s3_roi,target_topk,0.8084,167,0.742,0.8609
10.0,positive,s3_roi,thumbnail,0.1633,49,0.0851,0.2904
15.0,negative,s1_token,all,0.8735,253,0.8269,0.909
15.0,negative,s2_image,all,0.6798,253,0.62,0.7343
15.0,negative,s3_roi,all,0.7233,253,0.6652,0.7748
15.0,negative,s3_roi,suspect,0.7,40,0.5457,0.8193
15.0,negative,s3_roi,target_topk,0.4688,32,0.3087,0.6355
15.0,negative,s3_roi,thumbnail,0.7735,181,0.7072,0.8284
15.0,positive,s1_token,all,0.5986,279,0.5401,0.6544
15.0,positive,s2_image,all,0.7276,279,0.6725,0.7765
15.0,positive,s3_roi,all,0.6416,279,0.5837,0.6956
15.0,positive,s3_roi,suspect,0.6349,63,0.5115,0.7428
15.0,positive,s3_roi,target_topk,0.7904,167,0.7225,0.8453
15.0,positive,s3_roi,thumbnail,0.1429,49,0.071,0.2667
20.0,negative,s1_token,all,0.8735,253,0.8269,0.909
20.0,negative,s2_image,all,0.6798,253,0.62,0.7343
20.0,negative,s3_roi,all,0.7036,253,0.6446,0.7564
20.0,negative,s3_roi,suspect,0.525,40,0.375,0.6706
20.0,negative,s3_roi,target_topk,0.375,32,0.2293,0.5475
20.0,negative,s3_roi,thumbnail,0.8011,181,0.737,0.8527
20.0,positive,s1_token,all,0.5986,279,0.5401,0.6544
20.0,positive,s2_image,all,0.7348,279,0.68,0.7831
20.0,positive,s3_roi,all,0.7097,279,0.6539,0.7598
20.0,positive,s3_roi,suspect,0.6825,63,0.56,0.7841
20.0,positive,s3_roi,target_topk,0.8503,167,0.7883,0.8965
20.0,positive,s3_roi,thumbnail,0.2653,49,0.1621,0.4026
