arm	seed	exit	start	end	dir
bl_oracle_best_feasible_evidence	0	0	2026-07-09T16:29:42	2026-07-09T16:29:54	outputs/rl/eps_recal_v7b/bl_oracle_best_feasible_evidence_0
bl_oracle_best_feasible_evidence_nom	0	0	2026-07-09T16:29:54	2026-07-09T16:30:10	outputs/rl/eps_recal_v7b/bl_oracle_best_feasible_evidence_0_nom
bl_oracle_escalation_aware	0	0	2026-07-09T16:30:10	2026-07-09T16:30:24	outputs/rl/eps_recal_v7b/bl_oracle_escalation_aware_0
bl_oracle_escalation_aware_nom	0	0	2026-07-09T16:30:24	2026-07-09T16:30:40	outputs/rl/eps_recal_v7b/bl_oracle_escalation_aware_0_nom
bl_semantic_greedy	0	0	2026-07-09T16:30:40	2026-07-09T16:30:52	outputs/rl/eps_recal_v7b/bl_semantic_greedy_0
bl_semantic_greedy_nom	0	0	2026-07-09T16:30:52	2026-07-09T16:31:08	outputs/rl/eps_recal_v7b/bl_semantic_greedy_0_nom
bl_always_cache	0	0	2026-07-09T16:31:08	2026-07-09T16:31:19	outputs/rl/eps_recal_v7b/bl_always_cache_0
bl_always_cache_nom	0	0	2026-07-09T16:31:19	2026-07-09T16:31:34	outputs/rl/eps_recal_v7b/bl_always_cache_0_nom
bl_random	0	0	2026-07-09T16:31:34	2026-07-09T16:31:45	outputs/rl/eps_recal_v7b/bl_random_0
bl_random	1	0	2026-07-09T16:31:45	2026-07-09T16:31:57	outputs/rl/eps_recal_v7b/bl_random_1
bl_random	2	0	2026-07-09T16:31:57	2026-07-09T16:32:08	outputs/rl/eps_recal_v7b/bl_random_2
proposed	0	0	2026-07-09T16:32:08	2026-07-09T16:34:58	outputs/rl/eps_recal_v7b/proposed_0
proposed_nom	0	0	2026-07-09T16:34:58	2026-07-09T16:35:16	outputs/rl/eps_recal_v7b/proposed_0_nom
proposed	1	0	2026-07-09T16:35:16	2026-07-09T16:38:06	outputs/rl/eps_recal_v7b/proposed_1
proposed_nom	1	0	2026-07-09T16:38:06	2026-07-09T16:38:24	outputs/rl/eps_recal_v7b/proposed_1_nom
proposed	2	0	2026-07-09T16:38:24	2026-07-09T16:41:13	outputs/rl/eps_recal_v7b/proposed_2
proposed_nom	2	0	2026-07-09T16:41:13	2026-07-09T16:41:31	outputs/rl/eps_recal_v7b/proposed_2_nom
no_lagrangian	0	0	2026-07-09T16:41:31	2026-07-09T16:44:24	outputs/rl/eps_recal_v7b/no_lagrangian_0
no_lagrangian_nom	0	0	2026-07-09T16:44:24	2026-07-09T16:44:43	outputs/rl/eps_recal_v7b/no_lagrangian_0_nom
no_lagrangian	1	0	2026-07-09T16:44:43	2026-07-09T16:47:32	outputs/rl/eps_recal_v7b/no_lagrangian_1
no_lagrangian_nom	1	0	2026-07-09T16:47:32	2026-07-09T16:47:51	outputs/rl/eps_recal_v7b/no_lagrangian_1_nom
no_lagrangian	2	0	2026-07-09T16:47:51	2026-07-09T16:50:41	outputs/rl/eps_recal_v7b/no_lagrangian_2
no_lagrangian_nom	2	0	2026-07-09T16:50:41	2026-07-09T16:51:00	outputs/rl/eps_recal_v7b/no_lagrangian_2_nom
fixed_penalty	0	0	2026-07-09T16:51:00	2026-07-09T16:53:49	outputs/rl/eps_recal_v7b/fixed_penalty_0
fixed_penalty_nom	0	0	2026-07-09T16:53:49	2026-07-09T16:54:07	outputs/rl/eps_recal_v7b/fixed_penalty_0_nom
fixed_penalty	1	0	2026-07-09T16:54:07	2026-07-09T16:56:56	outputs/rl/eps_recal_v7b/fixed_penalty_1
fixed_penalty_nom	1	0	2026-07-09T16:56:56	2026-07-09T16:57:15	outputs/rl/eps_recal_v7b/fixed_penalty_1_nom
fixed_penalty	2	0	2026-07-09T16:57:15	2026-07-09T17:00:07	outputs/rl/eps_recal_v7b/fixed_penalty_2
fixed_penalty_nom	2	0	2026-07-09T17:00:07	2026-07-09T17:00:25	outputs/rl/eps_recal_v7b/fixed_penalty_2_nom
e4lut	0	0	2026-07-09T17:00:25	2026-07-09T17:03:06	outputs/rl/eps_recal_v7b/e4lut_0
e4lut_nom	0	0	2026-07-09T17:03:06	2026-07-09T17:03:25	outputs/rl/eps_recal_v7b/e4lut_0_nom
e4lut	1	0	2026-07-09T17:03:25	2026-07-09T17:06:06	outputs/rl/eps_recal_v7b/e4lut_1
e4lut_nom	1	0	2026-07-09T17:06:06	2026-07-09T17:06:25	outputs/rl/eps_recal_v7b/e4lut_1_nom
proposed_nomtrain	0	0	2026-07-09T17:06:25	2026-07-09T17:10:07	outputs/rl/eps_recal_v7b/proposed_0_nomtrain
proposed_nomtrain	1	0	2026-07-09T17:10:07	2026-07-09T17:13:51	outputs/rl/eps_recal_v7b/proposed_1_nomtrain
proposed_nomtrain	2	0	2026-07-09T17:13:51	2026-07-09T17:17:35	outputs/rl/eps_recal_v7b/proposed_2_nomtrain
