scenario,method,seeds,runs,episodes_per_run,tasks_total,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,quality_violation_rate_mean,quality_violation_rate_std,deadline_violation_rate_mean,deadline_violation_rate_std,battery_violation_rate_mean,battery_violation_rate_std,resource_violation_rate_mean,resource_violation_rate_std,airspace_conflict_rate_mean,airspace_conflict_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std,service_level_3_ratio_mean,service_level_3_ratio_std
,always_cache,0,1,1,2,0.0,0.0,0.353165,0.0,0.212643,0.0,1.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,always_light,0,1,1,2,0.0,0.0,0.533605,0.0,6.217341,0.0,837.934655,0.0,0.788149,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,always_image,0,1,1,2,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,greedy_min_sufficient_evidence,0,1,1,2,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,no_cache_greedy,0,1,1,2,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,no_semantic_tokens_greedy,0,1,1,2,0.0,0.0,0.490835,0.0,8.969791,0.0,1019.936402,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,oracle_best_feasible_evidence,0,1,1,2,0.0,0.0,0.533605,0.0,6.217341,0.0,837.934655,0.0,0.788149,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,service_only_ppo,0,1,1,2,0.0,0.0,0.406689,0.0,3.473652,0.0,457.572335,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
,hybrid_ppo_no_lagrangian,0,1,1,2,0.0,0.0,0.406689,0.0,3.198803,0.0,432.934446,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
,hybrid_ppo_lagrangian,0,1,1,2,0.0,0.0,0.406689,0.0,3.198801,0.0,432.934223,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
,proposed_risk_aware_semantic_rl,0,1,1,2,0.0,0.0,0.490835,0.0,8.134089,0.0,947.056404,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,ablation_no_semantic_utility,0,1,1,2,0.0,0.0,0.490835,0.0,8.087447,0.0,943.269488,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,ablation_accuracy_only_utility,0,1,1,2,0.0,0.0,0.490835,0.0,8.117224,0.0,945.712637,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,ablation_uncertainty_aware_utility,0,1,1,2,0.0,0.0,0.490835,0.0,8.13449,0.0,947.129077,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,ablation_no_safety_layer,0,1,1,2,0.0,0.0,0.490835,0.0,8.134089,0.0,947.056404,0.0,175.121947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,ablation_no_imitation_warm_start,0,1,1,2,0.0,0.0,0.406689,0.0,3.198803,0.0,432.934446,0.0,0.394074,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
