episode,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline,method,seed
0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_only_ppo,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,service_only_ppo,0
0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid_ppo_no_lagrangian,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid_ppo_no_lagrangian,0
0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.05,0.025,0.025,0.0,0.0,0.0,0.05,0.025,hybrid_ppo_lagrangian,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.07500000000000001,0.07500000000000001,0.05,0.05,0.0,0.0,0.0,0.07500000000000001,0.05,hybrid_ppo_lagrangian,0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.028499999999999998,0.0,0.028499999999999998,0.0,0.0,0.0,0.0,0.014249999999999999,0.014249999999999999,proposed_risk_aware_semantic_rl,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.026999999999999996,0.0144,0.026999999999999996,0.0144,0.0,0.0,0.0,0.020699999999999996,0.020699999999999996,proposed_risk_aware_semantic_rl,0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_no_semantic_utility,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.045,0.024,0.045,0.024,0.0,0.0,0.0,0.0345,0.0345,ablation_no_semantic_utility,0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_accuracy_only_utility,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.045,0.024,0.045,0.024,0.0,0.0,0.0,0.0345,0.0345,ablation_accuracy_only_utility,0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_uncertainty_aware_utility,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.045,0.024,0.045,0.024,0.0,0.0,0.0,0.0345,0.0345,ablation_uncertainty_aware_utility,0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0475,0.0,0.0,0.0,0.0,0.02375,0.02375,ablation_no_safety_layer,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.045,0.024,0.045,0.024,0.0,0.0,0.0,0.0345,0.0345,ablation_no_safety_layer,0
0.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0475,0.0,0.022500000000000003,0.0,0.0,0.0,0.0,0.02375,0.011250000000000001,ablation_no_imitation_warm_start,0
1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.045,0.024,0.020000000000000004,0.024,0.0,0.0,0.0,0.0345,0.022000000000000002,ablation_no_imitation_warm_start,0
